"","author","first_author_surname","institution","inst_adress","country","title","year","journal","volume","number","first_page","last_page","abstract_pt","abstract_en","abstract_es","keywords_pt","keywords_en","keywords_es","doi","article_id","n_authors","n_pages","n_refs"
"1","María Luisa Martínez M.","Martínez M.",",Universidad de Concepción  ","Concepción ","Chile","PRESENTACIÓN","2020","Acta literaria","","61",7,13,"","","","","","","","S0717-68482020000200007",1,6,1
"2","David García-Reyes","García-Reyes",",Universidad de Concepción  ","Concepción ","Chile","LAS NARRACIONES GRÁFICAS DE JULIO CORTÁZAR: HIBRIDACIONES Y EXPRESIONES CRÍTICAS","2020","Acta literaria","","61",15,37,"","Abstract: Julio Cortázar's work is characterized by its modernity. He was interested in all the types of narrative media, from music to cinema, projecting also his fictional imaginaries in comics. Cortázar's graphic narratives confirm the coherence and the evolution of his work. The study addresses the significance and importance of Fantomas contra los vampiros multinacionales (1975) and La raíz del ombú (1981), comics in which the knowledge of graphic narrative by the Argentine writer is shown. Both narrations have a critical vision of the world, denouncing the abuses and atrocities committed in Latin America.","Resumen: La obra de Julio Cortázar destaca por su modernidad y por la capacidad del escritor argentino para proyectar sus imaginarios en ámbitos como la historieta. Cortázar demostró interés y curiosidad por diversos medios artísticos, desde la música al cine. Las obras de Cortázar como guionista de historietas confirman la coherencia de su obra y la evolución de esta. La investigación aborda el estudio de la significación e importancia de Fantomas contra los vampiros multinacionales (1975) y La raíz del ombú (1981), narraciones gráficas que manifiestan el conocimiento del medio por parte del escritor argentino y que ahondan en una visión crítica del mundo, reivindicando la figura del intelectual y su posición responsable, denunciando los abusos y atrocidades perpetrados en América Latina.","","Cortázar; comic; hybridizations; Latin American Imaginaries","Cortázar; historieta; hibridaciones; imaginarios latinoamericanos","10.29393/al61-8ngdg10008","S0717-68482020000200015",1,22,26
"3","Stephan Lipke","Lipke",",Universidad Estatal de Tomsk  ","Moscú ","Rusia","REALISMO MACABRO EN LA NOVELA NOLI ME TANGERE DE JOSÉ RIZAL A LA LUZ DEL POEMA ALMAS MUERTAS DE NIKOLAI GOGOL","2020","Acta literaria","","61",39,55,"","Abstract: In this study we analyze Noli me tangere by José Rizal, in the context of the Filipino liberation movement. Just like Nikolai Gogol's poem Dead Souls not only describes realistically the sufferings of Russia, and most of all, of the serf farmers, and one of its main reasons, the lack of education in the middle and higher classes, but also makes fun of it, likewise, Rizal's ""novela tagala"", which belongs to the same artistic tradition of the grotesque, combines the realistic description of the Filipino people's suffering with ridicule. With the help of the history of world literature, as presented by Mikhail Bakhtin, Yuri Mann and Franca Beltrame, and in the light of E. San Juan, Jr.'s critical method we show that realism in both writers' works goes beyond political and social aspects and is strongly imbued with the macabre aspect, i.e. the shameless, absurd and ridiculous transgression of the realm of the dead by the living.","Resumen: En este artículo se analiza la novela Noli me tangere de José Rizal en el contexto de la liberación de Filipinas del imperio español. Tal como Nikolai Gogol no solo describe realísticamente en Almas muertas los sufrimientos de Rusia, sobre todo de los campesinos, y una de sus causas, la falta de educación de las clases altas o medias, sino que también se burla de ello, al igual que la ""novela tagala"", de Rizal, la cual comparte la misma tradición grotesca, suma la irrisión a la descripción realista de la opresión del pueblo filipino. A la luz de la historia de la literatura mundial, como la presentan Mikhail Bakhtin, Iuri Mann y Franca Beltrame, y con la ayuda de la crítica de E. San Juan, Jr., se muestra que ese realismo va más allá del aspecto político-social. Para los autores, el aspecto macabro es importante, es decir, la transgresión desvergonzada, absurda y ridícula del ámbito de los muertos por parte de los vivos.","","Nikolai Gogol'; José Rizal; Russia; Philippines; realism; grotesque; macabre","Nikolai Gogol; José Rizal; Rusia; Filipinas; realismo; grotesco; macabro","10.29393/al61-9rmsl10009","S0717-68482020000200039",1,16,26
"4","Natalia Biancotto","Biancotto",",Instituto de Estudios Críticos en Humanidades  "," ","Argentina","LA ARBITRARIEDAD DEL DESATINO. UNA LECTURA DEL NONSENSE EN LOS DÍAS DE LA NOCHE DE SILVINA OCAMPO","2020","Acta literaria","","61",57,72,"","Abstract: In this article I shall present a reading of Los días de la noche (1970) by Silvina Ocampo, based on the general hypothesis that these stories reveal a sustained exploration of the nonsense forms in the ocampian narrative. Specifically, I will try to describe and characterize the way in which the stories in this volume build its fiction based on the nonsense principle of arbitrariness. The fatal fate of the characters is organized according to a logic of invention that affirms the definitive abandonment of common sense by the overdetermination of the literal meaning. Thus, the constant effect of frustration of sense that distinguishes these narratives is the result of the exasperation of literalism and the expansion of a foolish premise to the very limits of the story.","Resumen: En este artículo me ocuparé de presentar una lectura de Los días de la noche (1970) de Silvina Ocampo, a partir de la hipótesis general que afirma que estos cuentos ponen de manifiesto una exploración sostenida con las formas del nonsense en la narrativa ocampiana. Específicamente, intentaré describir y caracterizar el modo en que los relatos de este volumen construyen ficción a partir del principio de arbitrariedad del nonsense. El sino fatal de los personajes se organiza en función de una lógica de la invención que afirma el definitivo abandono del sentido común por la sobredeterminación del sentido literal. Así, el incesante efecto de frustración del sentido que singulariza estas narraciones resulta producto de la exasperación de la literalidad y la expansión de una premisa insensata hacia los límites mismos del relato.","","Los días de la noche; Silvina Ocampo; nonsense; arbitrariness; frustration of sense","Los días de la noche; Silvina Ocampo; nonsense; arbitrariedad; frustración del sentido","10.29393/al61-10adnb10010","S0717-68482020000200057",1,15,22
"5","Christian Escobar-Jiménez","Escobar-Jiménez",",Pontificia Universidad Católica del Ecuador  "," ","Ecuador","UBICUO E INVISIBLE: LA SERVIDUMBRE EN LOS RESTOS DEL DÍA DE KAZUO ISHIGURO","2020","Acta literaria","","61",73,92,"","Abstract: This paper analyzes the english novel The Remains of the Day by Kazuo Ishiguro, published in 1989 and which he obtained the Booker Prize and gave him international recognition. This work focuses in three analytic perspectives: The pro blem of servants in England and the status that main carachter, Stevens, gives to his profession around the concept of ""dignity"". Second one, the historical context of Suez Crisis which marks the finish of English Empire, because this is the year when Stevens narrates the events of his life. The change of ownership of mansion where Stevens works, from an English lord to an American gentleman, creates the context. Finally, it makes a brief reference about how Ishiguro uses the History to build his stories.","Resumen: Este artículo analiza la novela Los restos del día de Kazuo Ishiguro, publicada en 1989 y con la que obtuvo el reconocimiento internacional al ganar el Premio Booker. Se aborda su estudio desde tres perspectivas: el problema de la servidumbre en Inglaterra y la idea de dignidad que Stevens, el protagonista, le da a su oficio. La segunda, el contexto del impasse de Suez y el declive del imperio inglés, pues es el año en el que el protagonista narra los hechos de su vida y construye su memoria. El cambio de propietario de la mansión en la que trabaja, de un lord inglés a un caballero estadounidense marcan el contexto. Por último, se hace una breve referencia a la forma en la que Ishiguro usa la historia para construir su obra.","","Ishiguro; Servants in England; Dignity; History and Literature","Ishiguro; servidumbre en Inglaterra; dignidad; historia y literatura","10.29393/al61-11uice10011","S0717-68482020000200073",1,19,24
"6","María Elena Esparza Pezo","Esparza Pezo",",Universidad de Concepción  "," ","Chile","LA TRAMPA DE LA FÁBRICA EN FABIÁN Y EL CAOS DE PEDRO JUAN GUTIÉRREZ","2020","Acta literaria","","61",93,119,"","Abstract: The article examines the factory as a diegetic space in the novel Fabián y el caos by Pedro Juan Gutiérrez. Considering the theoretical approaches of Roland Barthes, Philippe Hamon, Luz A. Pimentel, Antonio Garrido and Janusz Slawinski, the representation of this space as a place of punishment and corruption gets evident, according to the perspective of each of its protagonists. The analysis focuses on the fictional representation of the first years of the Cuban Revolution and its way of disciplining homosexuals and those who are on the fringes of the new man.","Resumen: El artículo examina la fábrica como espacio diegético en la novela Fabián y el caos de Pedro Juan Gutiérrez. Considerando los planteamientos teóricos de Roland Barthes, Philippe Hamon, Luz A. Pimentel, Antonio Garrido y Janusz Slawinski, se evidencia la representación de este espacio como un lugar de castigo y corrupción, según la perspectiva de cada uno de sus protagonistas. El análisis se centra en la representación novelesca de los primeros años de la Revolución cubana y su forma de disciplinar a los homosexuales y quienes están al margen del hombre nuevo.","","Cuban revolution; homosexuality; diegetic space; correction","Revolución cubana; homosexualidad; espacio diegético; corrección","10.29393/al61-12tfme10012","S0717-68482020000200093",1,26,27
"7","María Belén Bernardi","Bernardi",",Instituto de Estudios Críticos en Humanidades  "," ","Argentina","FIGURACIONES POSNACIONALES Y POSGLOBALES EN CAMINANDO BAJO EL MAR, COLGANDO DEL AMPLIO CIELO (2017) DE PATRICIO PRON","2020","Acta literaria","","61",121,135,"","Abstract: In this paper, we will examine the representations of social groups and migrant subjects from the dismantling of the notions of nationalism and cosmopolitanism in Patricio Pron's latest children's book, Caminando bajo el mar, colgando del amplio cielo (2017). On the one hand, we will analyze how the subjective and global condition of the refugee is built. This image is introduced by the author himself in different places. On the other hand, we will investigate about the autobiographical aspects of the story and the construction of the figure of the diasporic writer. Also we will ask about the choice of the fable genre, since we believe that the author places in the children's audience the possibilities of realization of a utopian future, guarantor of universal hospitality, similar to that proclaimed by Kant in ""Perpetual Peace"".","Resumen: En este artículo abordaremos las representaciones de grupos sociales y sujetos migrantes desde el desmantelamiento de las nociones de nacionalismo y cosmopolitismo en el libro infantil de Patricio Pron, Caminando bajo el mar, colgando del amplio cielo (2017). Por una parte, analizaremos de qué manera se construye la condición subjetiva y mundial del refugiado, cuya imagen es introducida por el propio autor en distintas declaraciones. Por otra parte, indagaremos acerca de los modos de emergencia de lo autobiográfico en el relato y la construcción de una figura de escritor diaspórico, carente de hogar, a partir de las posibles incidencias de la elección del género fábula, ya que creemos que el autor deposita en el público infantil las posibilidades de concreción de un futuro utópico, garante de hospitalidad universal, asimilable a aquel que pregonara Kant en ""Sobre la paz perpetua"".","","Cosmopolitanism; fable; children's literature; migration; postnationalism","Cosmopolitismo; fábula; literatura infantil; migración; posnacionalismo","10.29393/al61-13fpmb10013","S0717-68482020000200121",1,14,24
"8","Christian Troncoso Castillo","Troncoso Castillo",",Universidad Autónoma de Chile  "," ","Chile","EL PROBLEMA DE LOS AFECTOS EN LA FORMACIÓN DE LA FAMILIA EN LA NOVELA CHILENA LA HECHIZADA DE FERNANDO SANTIVÁN 1","2020","Acta literaria","","61",137,150,"","Abstract: The objective of this research is tracking how the affections appears into Chilean culture, taking as a point of departure a literary work installed in the traditional canon like La Hechizada. La Hechizada, as a canonical text, is a work child of her time in many aspects. The narration is based on a crush on youth, which causes more of a problem because the supposed lovers come from different castes. Taking into consideration the pedagogical purpose of realist novels, perhaps the author's perspective is very opposite to the social validation of affections, but it does not mean that the affections are the engine of the development of the actions in the story. The way in which love relationships are problematized from the male and female sexual roles of the early twentieth century are a starting point for the study of affections in Chilean literature. It is relevant to examine the literature as a privileged witness of social transformations, although this results in a challenge that crosses this article, but which is a larger task.","Resumen: El objetivo de esta investigación es rastrear cómo los afectos se cuelan en la cultura chilena, tomando como punto de partida una obra instalada en el canon tradicional como La Hechizada. La Hechizada, como texto canónico, es una obra hija de su tiempo en muchos aspectos. El relato se basa en un enamoramiento de juventud, que causa más de algún problema porque los supuestos amantes provienen de castas distintas. Tomando en cuenta el fin pedagógico de las novelas realistas, quizás la perspectiva del autor sea muy contraria a la validación social de los afectos, pero eso no quita que estos sean los que incentivan el desarrollo de las acciones de la historia. La forma en que problematizan las relaciones amorosas a partir de los roles sexuales masculinos y femeninos de principios del siglo XX son un punto de partida para el estudio de los afectos en la literatura chilena. Adquiere relevancia examinar la literatura como testigo privilegiado de las transformaciones sociales, aunque este desafío supone una tarea de mayor envergadura que las líneas del presente artículo.","","Affections; family; women; countryside; Chilean literature","Afectos; familia; mujer; campo; literatura chilena","10.29393/al61-14pact10014","S0717-68482020000200137",1,13,11
"9","Gerardo Rodríguez Salas","Rodríguez Salas",",Universidad de Granada Facultad de Filosofía y Letras "," ","Spain","Marina Tapia, Jardín imposible","2020","Acta literaria","","61",151,156,"","","","","","","","S0717-68482020000200151",1,5,1
"10","Katia Olalde","Olalde",",Universidad Nacional Autónoma de México Escuela Nacional de Estudios Superiores (ENES) ","Morelia ","Mexico","Presentación del Thema: Porque el silencio no es olvido","2021","Acta poética","42","1",7,10,"","","","","","","10.19130/iifl.ap.2021.1.882","S0185-30822021000100007",1,3,11
